timestamp;activity;cocina_acs712_airfryer_current_last;cocina_acs712_airfryer_current_max;cocina_acs712_cafetera_current_last;cocina_acs712_cafetera_current_max;cocina_dht11_cocina_humidity_mean;cocina_dht11_cocina_humidity_min;cocina_dht11_cocina_humidity_max;cocina_dht11_cocina_humidity_std;cocina_dht11_cocina_temperature_mean;cocina_dht11_cocina_temperature_min;cocina_dht11_cocina_temperature_max;cocina_dht11_cocina_temperature_std;cocina_hc_sr04_cocina_distance_last;cocina_hc_sr04_cocina_distance_min;cocina_hc_sr04_cocina_distance_max;cocina_pir_cocina_movement_last;cocina_pir_cocina_movement_sum;cocina_pir_cocina_movement_max;cocina_yf_s201_cocina_flow_state_last;cocina_yf_s201_cocina_flow_state_sum;cocina_yf_s201_cocina_flow_state_max;comedor_pir_comedor_movement_last;comedor_pir_comedor_movement_sum;comedor_pir_comedor_movement_max
2026-04-25 02:34:00;sin_act_cocina_comedor;0;0.266;0.174;0.208;41;41;41;0;28;28;28;0;130.563;62.426;153.921;0;0;0;0;0;0;1;30;1
2026-04-25 02:34:30;sin_act_cocina_comedor;0;0.335;0.178;0.207;41;41;41;0;28;28;28;0;153.081;63.884;154.35;0;0;0;0;0;0;1;30;1
2026-04-25 02:35:00;sin_act_cocina_comedor;0;0.282;0.174;0.196;41;41;41;0;28;28;28;0;64.312;64.312;182.116;0;0;0;0;0;0;1;30;1
2026-04-25 02:35:30;sin_act_cocina_comedor;0.29;0.29;0;0.187;41;41;41;0;28;28;28;0;152.927;64.261;153.458;0;0;0;0;0;0;1;30;1
2026-04-25 02:36:00;sin_act_cocina_comedor;0;0.278;0;0.188;40.6;40;41;0.498273;28;28;28;0;152.155;150.869;153.904;0;0;0;0;0;0;1;30;1
2026-04-25 02:36:30;sin_act_cocina_comedor;0;0.321;0;0.189;40;40;40;0;28;28;28;0;153.921;64.673;153.921;0;0;0;0;0;0;1;30;1
2026-04-25 02:37:00;sin_act_cocina_comedor;0;0.265;0;0.215;40;40;40;0;28;28;28;0;65.204;64.69;153.51;0;0;0;0;0;0;1;30;1
2026-04-25 02:37:30;sin_act_cocina_comedor;0;0;0;0.194;40;40;40;0;28;28;28;0;153.012;65.119;165.532;0;0;0;0;0;0;0;30;1
2026-04-25 02:38:00;sin_act_cocina_comedor;0.289;0.33;0.203;0.215;40;40;40;0;28;28;28;0;153.012;63.935;153.87;0;0;0;0;0;0;1;30;1
2026-04-25 02:38:30;sin_act_cocina_comedor;0;0.319;0;0.224;40;40;40;0;28;28;28;0;152.584;64.261;153.921;0;0;0;0;0;0;1;30;1
2026-04-25 02:39:00;sin_act_cocina_comedor;0;0.289;0.183;0.223;40;40;40;0;28;28;28;0;65.564;65.564;154.35;0;0;0;0;0;0;1;30;1
2026-04-25 02:39:30;sin_act_cocina_comedor;0;0.297;0.183;0.224;40;40;40;0;28;28;28;0;152.652;65.204;168.876;0;0;0;0;0;0;1;30;1
2026-04-25 02:40:00;sin_act_cocina_comedor;0;0.284;0.18;0.22;40;40;40;0;28;28;28;0;64.793;64.364;158.98;0;0;0;0;0;0;1;30;1
2026-04-25 02:40:30;sin_act_cocina_comedor;0.289;0.301;0.193;0.211;40;40;40;0;28;28;28;0;64.21;49.701;193.795;0;0;0;0;0;0;1;30;1
2026-04-25 02:41:00;sin_act_cocina_comedor;0;0.302;0.183;0.223;40;40;40;0;28;28;28;0;153.047;64.741;153.51;0;0;0;0;0;0;1;30;1
2026-04-25 02:41:30;sin_act_cocina_comedor;0;0.327;0.185;0.215;40;40;40;0;28;28;28;0;153.39;64.758;154.367;0;0;0;0;0;0;1;30;1
2026-04-25 02:42:00;sin_act_cocina_comedor;0;0.279;0.184;0.211;40;40;40;0;28;28;28;0;152.549;65.633;160.095;0;0;0;0;0;0;1;30;1
2026-04-25 02:42:30;sin_act_cocina_comedor;0;0.29;0.186;0.214;40;40;40;0;28;28;28;0;153.029;65.101;153.441;0;0;0;0;0;0;1;30;1
2026-04-25 02:43:00;sin_act_cocina_comedor;0.276;0.286;0.188;0.216;40;40;40;0;28;28;28;0;153.132;63.884;153.853;0;0;0;0;0;0;1;30;1
2026-04-25 02:43:30;sin_act_cocina_comedor;0;0.283;0.179;0.196;40;40;40;0;28;28;28;0;152.978;63.884;180.864;0;0;0;0;0;0;1;30;1
2026-04-25 02:44:00;sin_act_cocina_comedor;0;0.302;0.209;0.211;40;40;40;0;28;28;28;0;153.51;63.987;158.294;0;0;0;0;0;0;1;30;1
2026-04-25 02:44:30;sin_act_cocina_comedor;0;0.281;0.186;0.206;40;40;40;0;28;28;28;0;153.458;64.741;159.066;0;0;0;0;0;0;1;30;1
2026-04-25 02:45:00;sin_act_cocina_comedor;0;0.302;0.23;0.243;40;40;40;0;28;28;28;0;153.458;56.698;233.411;0;0;0;0;0;0;1;30;1
2026-04-25 02:45:30;sin_act_cocina_comedor;0;0.286;0.187;0.23;40;40;40;0;28;28;28;0;63.815;63.815;198.014;0;0;0;0;0;0;0;30;1
2026-04-25 02:46:00;sin_act_cocina_comedor;0;0.273;0;0.21;40;40;40;0;28;28;28;0;153.424;64.364;156.134;0;0;0;0;0;0;1;30;1
2026-04-25 02:46:30;sin_act_cocina_comedor;0.263;0.284;0.198;0.217;40;40;40;0;28;28;28;0;152.584;64.244;153.801;0;0;0;0;0;0;1;30;1
2026-04-25 02:47:00;sin_act_cocina_comedor;0.289;0.293;0.203;0.209;40;40;40;0;28;28;28;0;152.138;63.935;195.596;0;0;0;0;0;0;1;30;1
2026-04-25 02:47:30;sin_act_cocina_comedor;0.277;0.28;0.21;0.222;40;40;40;0;28;28;28;0;152.961;63.884;154.299;0;0;0;0;0;0;1;30;1
2026-04-25 02:48:00;sin_act_cocina_comedor;0;0.273;0.194;0.209;40;40;40;0;28;28;28;0;153.407;3.979;153.51;0;0;0;0;0;0;0;30;1
2026-04-25 02:48:30;sin_act_cocina_comedor;0;0.293;0.179;0.214;40;40;40;0;28;28;28;0;153.029;64.741;153.492;0;0;0;0;0;0;1;30;1
2026-04-25 02:49:00;sin_act_cocina_comedor;0;0.283;0.186;0.205;40;40;40;0;28;28;28;0;153.407;65.65;153.475;0;0;0;0;0;0;1;30;1
2026-04-25 02:49:30;sin_act_cocina_comedor;0;0.265;0.175;0.215;40;40;40;0;28;28;28;0;152.618;64.312;178.772;0;0;0;0;0;0;1;30;1
2026-04-25 02:50:00;sin_act_cocina_comedor;0;0.279;0.215;0.215;40;40;40;0;28;28;28;0;146.307;146.307;153.527;0;0;0;0;0;0;1;30;1
2026-04-25 02:50:30;sin_act_cocina_comedor;0.268;0.29;0.177;0.231;40;40;40;0;28;28;28;0;153.047;64.69;153.921;0;0;0;0;0;0;1;30;1
2026-04-25 02:51:00;sin_act_cocina_comedor;0;0.275;0.175;0.227;40;40;40;0;28;28;28;0;153.029;65.204;153.527;0;0;0;0;0;0;1;30;1
2026-04-25 02:51:30;sin_act_cocina_comedor;0;0.267;0.182;0.206;40;40;40;0;28;28;28;0;153.51;152.669;153.921;0;0;0;0;0;0;0;30;1
2026-04-25 02:52:00;sin_act_cocina_comedor;0;0.274;0.176;0.207;40;40;40;0;28;28;28;0;153.458;151.657;153.87;0;0;0;0;0;0;0;30;1
2026-04-25 02:52:30;sin_act_cocina_comedor;0;0.289;0.189;0.219;40;40;40;0;28;28;28;0;153.561;63.884;160.781;0;0;0;0;0;0;1;30;1
2026-04-25 02:53:00;sin_act_cocina_comedor;0;0.323;0.178;0.235;40;40;40;0;28;28;28;0;153.081;151.76;153.973;0;0;0;0;0;0;1;30;1
2026-04-25 02:53:30;sin_act_cocina_comedor;0;0.269;0.177;0.19;40;40;40;0;28;28;28;0;64.844;64.312;153.492;0;0;0;0;0;0;1;30;1
2026-04-25 02:54:00;sin_act_cocina_comedor;0;0.277;0.187;0.218;40;40;40;0;28;28;28;0;153.081;48.329;153.956;0;0;0;0;0;0;0;30;1
2026-04-25 02:54:30;sin_act_cocina_comedor;0;0;0.181;0.203;40;40;40;0;28;28;28;0;152.601;65.221;174.621;0;0;0;0;0;0;1;30;1
2026-04-25 02:55:00;sin_act_cocina_comedor;0.264;0.264;0.175;0.212;40;40;40;0;28;28;28;0;153.527;64.741;167.521;0;0;0;0;0;0;1;30;1
2026-04-25 02:55:30;sin_act_cocina_comedor;0;0.28;0.21;0.222;40;40;40;0;28;28;28;0;153.149;64.312;153.149;0;0;0;0;0;0;1;30;1
2026-04-25 02:56:00;sin_act_cocina_comedor;0;0.272;0.177;0.21;40;40;40;0;28;28;28;0;153.149;64.347;153.149;0;0;0;0;0;0;1;30;1
2026-04-25 02:56:30;sin_act_cocina_comedor;0;0.283;0.19;0.203;40;40;40;0;28;28;28;0;149.136;149.136;153.613;0;0;0;0;0;0;1;30;1
2026-04-25 02:57:00;sin_act_cocina_comedor;0.271;0.272;0.175;0.216;40;40;40;0;28;28;28;0;153.492;149.136;153.647;0;0;0;0;0;0;1;30;1
2026-04-25 02:57:30;sin_act_cocina_comedor;0;0.35;0.189;0.203;40;40;40;0;28;28;28;0;153.029;64.827;153.887;0;0;0;0;0;0;1;30;1
2026-04-25 02:58:00;sin_act_cocina_comedor;0;0.28;0.184;0.209;40;40;40;0;28;28;28;0;153.012;152.189;153.441;0;0;0;0;0;0;1;30;1
2026-04-25 02:58:30;sin_act_cocina_comedor;0;0.296;0.205;0.214;40;40;40;0;28;28;28;0;153.372;152.566;153.887;0;0;0;0;0;0;1;30;1
2026-04-25 02:59:00;sin_act_cocina_comedor;0;0.275;0;0.206;40;40;40;0;28;28;28;0;152.995;65.17;153.51;0;0;0;0;0;0;1;25;1
2026-04-25 02:59:30;sin_act_cocina_comedor;0;0.299;0;0.207;40;40;40;0;28;28;28;0;65.633;64.724;156.682;0;0;0;0;0;0;1;30;1
2026-04-25 03:00:00;sin_act_cocina_comedor;0;0.267;0.199;0.202;40;40;40;0;28;28;28;0;153.492;140.373;153.492;0;0;0;0;0;0;1;30;1
2026-04-25 03:00:30;sin_act_cocina_comedor;0;0.351;0;0.188;40;40;40;0;28;28;28;0;152.686;64.312;153.938;0;0;0;0;0;0;1;30;1
2026-04-25 03:01:00;sin_act_cocina_comedor;0;0.287;0.196;0.196;40;40;40;0;28;28;28;0;64.793;64.793;176.491;0;0;0;0;0;0;1;30;1
2026-04-25 03:01:30;sin_act_cocina_comedor;0;0.293;0;0.196;40;40;40;0;28;28;28;0;153.818;65.204;153.835;0;0;0;0;0;0;1;30;1
2026-04-25 03:02:00;sin_act_cocina_comedor;0;0.271;0;0.195;40;40;40;0;28;28;28;0;153.372;64.364;154.247;0;0;0;0;0;0;1;30;1
2026-04-25 03:02:30;sin_act_cocina_comedor;0;0.295;0.178;0.213;40;40;40;0;28;28;28;0;153.75;37.044;154.676;0;0;0;0;0;0;1;30;1
2026-04-25 03:03:00;sin_act_cocina_comedor;0;0.28;0.192;0.201;40;40;40;0;28;28;28;0;154.076;63.935;154.676;0;0;0;0;0;0;1;30;1
