timestamp;activity;uso_inodoro_completado;banio_dht11_ducha_humidity_mean;banio_dht11_ducha_humidity_min;banio_dht11_ducha_humidity_max;banio_dht11_ducha_humidity_std;banio_dht11_ducha_temperature_mean;banio_dht11_ducha_temperature_min;banio_dht11_ducha_temperature_max;banio_dht11_ducha_temperature_std;banio_hc_sr04_banio_distance_mean;banio_hc_sr04_banio_distance_min;banio_hc_sr04_banio_distance_max;banio_hc_sr04_banio_distance_std;banio_hc_sr04_ducha1_distance_mean;banio_hc_sr04_ducha1_distance_min;banio_hc_sr04_ducha1_distance_max;banio_hc_sr04_ducha1_distance_std;banio_hc_sr04_ducha_distance_mean;banio_hc_sr04_ducha_distance_min;banio_hc_sr04_ducha_distance_max;banio_hc_sr04_ducha_distance_std;banio_pir_banio_1_movement_mean;banio_pir_banio_1_movement_sum;banio_pir_banio_1_movement_max;banio_pir_ducha_movement_mean;banio_pir_ducha_movement_sum;banio_pir_ducha_movement_max;banio_yf_s201_a_banio_flow_state_mean;banio_yf_s201_a_banio_flow_state_sum;banio_yf_s201_a_banio_flow_state_max;banio_yf_s201_ducha_flow_state_mean;banio_yf_s201_ducha_flow_state_sum;banio_yf_s201_ducha_flow_state_max;banio_yf_s201_lavamanos_flow_state_mean;banio_yf_s201_lavamanos_flow_state_sum;banio_yf_s201_lavamanos_flow_state_max
2026-04-17 12:23:30+00:00;sin_act_banio;;64.000000;64.000000;64.000000;0.000000;24.000000;24.000000;24.000000;0.000000;101.353600;101.219000;101.682000;0.150735;156.457267;58.034000;215.621000;74.318164;200.922567;200.295000;201.633000;0.376295;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2026-04-17 12:24:00+00:00;sin_act_banio;;64.000000;64.000000;64.000000;0.000000;24.000000;24.000000;24.000000;0.000000;101.630300;101.288000;102.128000;0.306960;151.328200;50.293000;215.207000;69.249538;200.700733;200.312000;201.633000;0.377517;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2026-04-17 12:24:30+00:00;sin_act_banio;;64.000000;64.000000;64.000000;0.000000;24.000000;24.000000;24.000000;0.000000;101.558300;101.288000;101.700000;0.188494;198.610333;50.293000;215.207000;50.284552;202.558667;200.672000;209.985000;3.384996;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2026-04-17 12:25:00+00:00;sin_act_banio;;64.000000;64.000000;64.000000;0.000000;24.000000;24.000000;24.000000;0.000000;101.391333;101.288000;101.700000;0.166446;156.582667;96.052000;215.603000;59.656378;199.941000;184.894000;201.187000;2.866761;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2026-04-17 12:25:30+00:00;sin_act_banio;;64.000000;64.000000;64.000000;0.000000;24.000000;24.000000;24.000000;0.000000;101.377000;101.236000;101.700000;0.175565;215.208467;215.155000;215.603000;0.135172;199.116000;184.894000;201.169000;4.832675;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2026-04-17 12:26:00+00:00;sin_act_banio;;64.000000;64.000000;64.000000;0.000000;24.000000;24.000000;24.000000;0.000000;101.429633;101.288000;101.700000;0.185548;192.441933;79.845000;215.172000;51.216032;207.018100;169.476000;239.225000;21.584640;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2026-04-17 12:26:30+00:00;sin_act_banio;;64.000000;64.000000;64.000000;0.000000;24.000000;24.000000;24.000000;0.000000;101.356500;101.271000;101.682000;0.148527;208.670700;176.362000;215.586000;14.698559;200.825400;200.312000;201.290000;0.309539;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2026-04-17 12:27:00+00:00;sin_act_banio;;64.000000;64.000000;64.000000;0.000000;24.000000;24.000000;24.000000;0.000000;101.526033;101.254000;101.700000;0.213057;215.094933;214.741000;215.621000;0.318614;201.058000;200.295000;203.382000;1.103461;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2026-04-17 12:27:30+00:00;sin_act_banio;;63.866667;63.000000;64.000000;0.345746;24.000000;24.000000;24.000000;0.000000;101.494400;101.254000;101.717000;0.209907;215.234267;214.741000;215.603000;0.295575;201.423733;200.329000;205.354000;1.804676;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2026-04-17 12:28:00+00:00;sin_act_banio;;63.000000;63.000000;63.000000;0.000000;24.000000;24.000000;24.000000;0.000000;101.498700;101.254000;101.682000;0.201022;215.152067;214.741000;215.241000;0.165983;200.934833;200.432000;201.375000;0.300478;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2026-04-17 12:28:30+00:00;sin_act_banio;;63.000000;63.000000;63.000000;0.000000;24.000000;24.000000;24.000000;0.000000;101.343367;101.254000;101.682000;0.136343;214.964767;203.810000;215.586000;2.113800;200.484600;199.900000;201.221000;0.481977;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2026-04-17 12:29:00+00:00;sin_act_banio;;63.000000;63.000000;63.000000;0.000000;24.000000;24.000000;24.000000;0.000000;101.302733;101.288000;101.322000;0.011585;211.482133;203.810000;215.603000;5.511771;200.804267;199.575000;201.204000;0.579352;0.166667;5.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2026-04-17 12:29:30+00:00;sin_act_banio;;63.000000;63.000000;63.000000;0.000000;24.000000;24.000000;24.000000;0.000000;101.353100;101.219000;101.700000;0.162605;215.194167;215.155000;215.224000;0.026434;200.324167;199.575000;201.118000;0.484152;0.166667;5.000000;1.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2026-04-17 12:30:00+00:00;sin_act_banio;;63.000000;63.000000;63.000000;0.000000;24.000000;24.000000;24.000000;0.000000;101.436067;101.271000;101.700000;0.198253;209.840700;183.069000;215.224000;12.177367;200.842333;200.329000;201.718000;0.429787;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2026-04-17 12:30:30+00:00;sin_act_banio;;63.000000;63.000000;63.000000;0.000000;24.000000;24.000000;24.000000;0.000000;101.603333;101.305000;101.700000;0.152146;215.135567;215.103000;215.155000;0.019093;198.994333;190.914000;201.169000;3.687045;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
2026-04-17 12:31:00+00:00;sin_act_banio;;63.000000;63.000000;63.000000;0.000000;24.000000;24.000000;24.000000;0.000000;101.409733;101.271000;101.700000;0.187049;215.143100;215.103000;215.207000;0.033089;200.575433;199.900000;201.101000;0.388989;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
